24378	100646199	1
33131	100650277	1
436316	100650277	1
643905	100650277	1
7619930	100650277	2
246438	100650277	1
33131	100593344	133
930	100621175	78
3485342	100621175	73
251252	100621175	69
15697	100619272	75
11417213	100639803	36
297257	100639803	36
4253	100639803	36
9144051	100639803	36
9265163	100639803	36
11902132	100639803	38
861922	100639803	36
15250	100639803	36
2606	100645189	9
258634	100645189	2
240686	100645189	2
118450	100645189	3
118450	100645189	3
3696553	100645189	7
9035307	100645189	15
7570222	100645189	21
7880	100645189	1
43981	100645189	2
43981	100645189	2
3336832	100645189	6
3356127	100645189	7
1259722	100645189	4
48798	100645189	1
48798	100645189	1
3706867	100645189	7
12954378	100645189	31
968999	100645189	5
10917126	100364971	748
10917126	100364971	748
9027335	100389116	671
9333602	100638797	31
12804754	100638797	45
12989190	100657885	1
195648	100657885	1
12993468	100657885	1
11091377	100657885	1
33131	100648040	3
33131	100648040	3
5741982	100648040	2
5741982	100648040	2
436316	100648040	1
524986	100648040	1
524986	100648040	1
627665	100648040	1
465609	100648040	1
465609	100648040	1
634657	100648040	3
634657	100648040	1
634657	100648040	1
495113	100648040	1
15697	100616517	84
7736055	100652467	1
9334911	100652467	2
1587831	100652467	1
333210	100652467	1
2354500	100652467	1
8815	100652467	1
9526512	100652467	1
2334221	100652467	1
130879	100652467	1
7565542	100652467	1
799560	100652467	1
464608	100652467	1
973557	100652467	1
26947	100652467	1
2605830	100652467	1
603843	100652467	1
9631156	100652467	2
12430353	100508882	27
437113	100508882	3
4342	100508882	0
3193554	100508882	17
9451918	100508882	17
3333321	100508882	5
10620203	100508882	20
569867	100508882	11
569867	100508882	11
617366	100508882	26
636468	100595669	145
451490	100647467	1
3883373	100647467	1
335770	100647467	1
2799394	100647467	1
686125	100647467	1
9482385	100647467	13
5897527	100647467	6
820866	100647467	1
8844058	100647467	9
3698468	100647467	2
98390	100647467	1
55184	100647467	1
766207	100647467	1
3283513	100647467	1
13023135	100647467	26
683863	100647467	1
736003	100647467	1
909623	100647467	1
878679	100647467	1
59794	100647467	1
3755278	100647467	1
1237892	100647467	1
754745	100647467	5
911748	100647467	0
3335207	100647467	1
27337	100647467	1
771972	100647467	1
911443	100647467	1
80978	100647467	1
534386	100647467	1
1244173	100647467	1
603843	100647467	1
899248	100647467	1
262679	100561321	240
77119	100658499	0
15697	100625487	57
15697	100625487	56
4253	100644170	11
10994613	100644170	24
24378	100646200	1
42406	100385318	685
33131	100619276	81
452683	100653836	1
24378	100653836	1
24378	100653836	1
201983	100653836	1
799560	100653836	1
10479155	100653836	1
3772626	100653836	1
1247240	100498974	362
9629502	100498974	376
10729379	100654790	1
7736055	100654790	1
3383192	100654790	1
4455177	100654790	1
33131	100654790	1
33131	100654790	1
159355	100654790	1
316836	100654790	1
240686	100654790	3
524986	100654790	1
470753	100654790	1
12138515	100654790	7
716572	100654790	1
195648	100654790	1
11481534	100654790	2
767399	100654790	1
627665	100654790	2
10094201	100654790	2
2617292	100654790	1
597543	100654790	1
940796	100654790	7
201983	100654790	1
616347	100654790	1
721538	100654790	1
395281	100654790	1
465609	100654790	1
465609	100654790	1
600572	100654790	1
464608	100654790	1
9663040	100654790	1
464266	100654790	1
249923	100654790	1
12712951	100654790	6
11101545	100654790	1
9543597	100654790	1
4843363	100654790	1
12784987	100654790	7
9818157	100654790	1
2752252	100654790	5
2911653	100654790	1
1677787	100654790	2
10103704	100654790	1
12442576	100654790	5
6998128	100654790	1
200404	100654790	1
3772757	100654790	1
3338455	100654790	3
